"id","overall","likes","dislikes"
"174","l'odeur plébicitée par d'autres avis ne m'a pas ""sauté au nez"" mais ce shampoing est doux et permet des lavages fréquents...sans alourdir...ni nourir...mais c'est un shampoing...","un bon shampoing, doux et facile à rincer",""
"175","M'a bien servi pendant un moment mais je vais devoir en changer ","Odeur agréable Sans silicones ni SLS Peu cher","A force de l'utiliser j'ai l'impression qu'il ne lave plus correctement, mes cheveux restent ""poisseux"""
"176","je trouve ce shampoing tres bien depuis que je l utilise mes cheveux ne sont plus réches je fais souvent des méches blanches qui abiment le cheveu je le mélange avec mon shampoing blanchissant","",""
"177","Je m'attendais à nettement mieux ... Un shampoing qui lave les cheveux, rien d'extraordinaire !","son odeur","déçue ! les cheveux secs restent secs "
"178","J'aime l'huile d'argan surtout que j'ai les cheveux très sec du aux mèches je le rachèterai peut être ","L'odeur","Je trouve qu'il ne lave pas super bien je m'attendais a mieux"
"179","Mes cheveux sont très secs et fins. J'ai commencé à utiliser ce shampoing car je n'ai pas pu résister à son odeur, néanmoins au bout d'un mois n'a rien changé, pourtant ce produit est destiné justement pour le soin de cheveux secs. ","","L'odeur"
"180","Ayant des cheveux secs, voire desséchés, c'est toujours un problème de trouve un shampoing qui n'alourdit pas mes cheveux, les nourrisse et les fasse briller tout en respectant leur texture. Ce shampoing est parfait, il nourrit mes cheveux, n'a pas besoin d'après shampoing, aide à les démêler et même à les lisser..","nutrition intense sans alourdir le cheveu, respect de la texture des chveux","aucun!"
"181","","","je m'attendais à mieux, j'ai des cheveux d'indienne mais pas lisse, un peu frisé. Mais cheveux n'étaient pas doux du tout, aucun résultat. Je l'ai donné à une amie. Chacun sa nature de cheveux."
"182","Un très bon shampoing, qui fait très bien son job. Il rend mes cheveux plus doux, plus facile à coiffer  Utilisé avec l'huile avant shampoing, c'est parfait !","- Pouvoir lavant - Efficacité - Se rince facilement - Odeur ","- RAS"
"183","","Rapport qualité/prix très très intéressant, odeur agréable",""
"184","","lave en douceur avec très peu de produit alors que j'ai les cheveux long et épais","les cheveux regraissent vite"
"185","Ce shampoing ne tient pas du tout ses promesses car contrairement à l'huile nutrition intense de la même gamme, ce shampoing n'est pas du tout adapté aux cheveux très secs et frisés.Très déçue par ce produit.","Bonne Odeur Joli packaging","Assèche vraiment les cheveux! Depuis que je l'utilise ils sont devenus très secs et cassants. Composition trop chimique."
"186","","Laisse les cheveux doux et souple ","les cheveux s'habituent et les effets ne durent pas sur l'utilisation a long terme, dommage.."
"187","Très bien pour mes cheveux longs et ondulés J'ai confiance en cette marque","Très doux, les cheveux sont souples Lave, mousse et se rince bien J'adore l'odeur","Rien à signaler"
"188","Je ne sais pas si c'est une idée mais j'ai l'impression que ce shampooing rendait mes cheveux plus foncés après le lavage, après ça passait (peut être que c'est le mélange des 2 huiles qui fait ça, à moins que ce ne soit le fruit de mon imagination) quoi qu'il en soit, ce n'était pas pour me déplaire. j'ai eu la chance de pouvoir le tester gratuitement avec l'huile elixir (soin avant shampooing) et je ne regrette pas ","Nourrit bien les cheveux Rend les cheveux brillants  Odeur agréable Mes cheveux paraissent moins abîmés, surtout au niveau des pointes (ils le sont toujours mais c'est moins flagrant)","-"
"189","Pour moi une des meilleures références en GMS","Rend les cheveux souples et doux Lave bien et se rince facilement Odeur très agréable","Sur le long terme, j'ai l'impression que mes cheveux s'habituent et les effets sont moins marqués qu'aux premières utilisations"
"190","Ce shampooing est un désastre : Il dessèche considérablement les cheveux alors que ça devrait être le contraire ! De la vraie paille .. De plus l'odeur n'est pas top. Je ne rachèterai pas. ","- Mousse bien.","- Dessèche les cheveux. - L'odeur pas terrible.  "
"191","Très bon produit !","Bonne odeur nourrit très bien les cheveux, les rend doux lave et se rince bien","..."
"192","shampoing très agréable","nourrissant",""
"193","rien à redire. incontournable ","odeur a tomber lave correctement mes cheuveux on l'air beau et content",""
"194","Je l ai adopter!!! ","J aime bcp , il sent bon et surtout se rince très facilement ! ! ! ! Mes cheveux son doux , brillant et léger !!!","Aucun"
"195","j'adore , j'adère!!","Super produit, je l'ai eu en test et depuis c'est mon préféré","au debut je ne voyais pas l'efficacité, mais après waouw"
"196","Pour l'instant c'est le meilleur shampoing que j'ai trouvé =)","Hydrate assez bien les cheveux, n'agresse pas mon cuir chevelu qui est très sensible de base et a une odeur envoûtante.","Je devrais peut-être l'alterner avec un autre shampoing car je trouve qu'il perd de son efficacité à long terme."
"197","Je l'ai eu gratuitement avec l'huile grâce au petit marseillais mais pour le coup l'hydratation n'est pas du tout satisfaisante,l'effet nourrissant non plus...Dommage...","-lave vite,se rince bien -ne graisse pas le cuir chevelu","-n'a pas du tout assez nourri mes cheveux qui correspondent pourtant parfaitement à la cible...c'est mieux avec l'huile avant-shampoing,mais même avec,ce n'est pas ça..."
"198","Je pense que ce shampooing est efficace sur cheveux secs non-abimés! La texture des cheveux après utilisation de ce produit est excellente car il rend les cheveux très doux et souple. Par contre, sur cheveux sec et sans volume je ne le recommande pas car après utilisation les cheveux sont'' plat-plat'''!","Odeur à tomber il sent super Bon! Mes cheveux secs sont brillant et tout doux Je n'ai pas besoins de lissage après l'avoir combiné à l'après shampooing de la même gamme",""
"199","J'aime bien ce shampoing méditerranéen, qui n'alourdi t pas les cheveux et laisse les boucles plus libres que d'autres shampoings que j'ai pu testé. J'ai le cheveux capricieux et ce produit n'est pas trop mal ! ","- son odeur + sa couleur caramel appétissante (miam) - sa légèreté qui ne casse pas les boucles  - son efficacité (enfin je crois) à court terme du moins","- je ne suis pas sûr de sa pleine efficacité pour des cheveux très abîmés mais il fait quand même l'affaire pour cheveux secs (voire très secs)"
"200","tres bon shampooing peu cher.ayant tester klorane mangue pour cheveux secs (arnaque totale) je reviens toujours a cette marque.jamais decue","hydrate et rend lachevelure soyeuse. ideal apres l'ete pour adoucir.","aucun"
"201","bon produit mais sans plus","l'odeur, prix abordable, nourrit et adoucit le cheveux","pas d'efficacité à long terme"
"202","Par contre une fois sec, l'odeur est douce ","hydrate en profondeur les cheveux secs Ne les alourdit pas Rend les cheveux souples et brillant le prix","je n'aime pas l'odeur du shampooing"
"203","","odeur agréable","ne ""répare pas"""
"204","","Idéal pour la salle douche. Sent bon et hydrate bien la peau (elle ne gratte pas, ou ne picotte pas à la sortie de la douche)",""
"205","j'aime énormément ce shampooing qui est dans ma salle de bain a utiliser avec le reste de la gamme après shampooing et masque si vous avez les cheveux secs comme moi et là depuis mes cheveux sont très doux ","très bon shampooing , sent super bon, rend les cheveux très doux ","pour le moment rien a dire"
"206","bon produit","prix sens très bon cheveux plus facile à coiffer cheveux moins sec","cheveux graisse beaucoup plus vite qu'a l'ordinaire "
"207","","Super shampoing qui rend les cheveux tout doux, très agréable pour les cheveux secs, avec l'huile de soin de la même gamme avant le shampoing et c'est parfait. ( les cheveux sont encore plus doux).",""
"208","Un pur plaisirs que d'utiliser le shampooing Le Petit Marseillais Nutrition Intense....Son parfum vous transporte et vous fait voyager...Sa mousse fine et onctueuse se rince facilement et les cheveux sont véritablement nourrient, brillants et facile à coiffer......","son prix son parfum ","aucun"
"209","Reçu grâce au petit Marseillais, je l'utilise avec le reste de la gamme - huile avant-shampooing - shampooing +/- après-shampooing et/ou masque.  Mes cheveux secs sont assez bien nourris comme ça.","Un bon shampooing sans silicones, avec une très bonne odeur, il lave bien. Petit prix",""
"210","","Son odeur","Pour mes cheveux très très secs, il faudrait toujours plus nourrissant..."
"211","Très bon shampooing, que j'ai découvert il y a peu et que j'apprécie énormément. Je l'utilise en alternant avec celui au karité et au miel. Très bon produit pour mes cheveux.","",""
"212","Bon shampoing, à combiner peut-être avec l'huile de la même gamme","L'odeur, les cheveux sont doux après le shampoing","Je ne pense pas qu'il soit si efficace que ça à long terme"
"213","je l'utilise en complément de l'huile avant shampoings que j'ai pu testé grâce au petit marseillais et je ne suis pas déçu mes cheveux sont super doux et brillant j'adore !!","sent super bon  lave bien  se rince facilement  SANS SILICONE  nourrit bien  laisse les cheveux brillant et doux ",""
"214","je ne le racheterai plus ; déçu par ces 2 huiles","le flacon est beau j'adore l'odeur","mes cheveux sont frisés naturellement et ce shampooing les rend sec dès la 1ere utilisation"
"215","très contente de ce produit, après le shampoing les cheveux sont doux et souples, ils sont bien hydratés, efficace sur le long terme","une bonne hydratation du cheveu","aucun"
"216","Quelle mauvaise surprise en utilisant ce shampoing + l'après shampoing ! J'en attendais beaucoup, karité et argan couplés, pour moi c'était l'assurance d'un fort pouvoir hydratant J'ai les cheveux naturellement bouclés et colorés Au 1er shampoing, je ne constate rien de particulier, mais une fois la bouteille terminée je me retrouve avec des cheveux secs, rêches, enfin bref tout sauf nourris ! Comment est-ce possible ?! J'espère maintenant pouvoir rattraper les dégâts  A fuir !","Sent très bon, odeur des îles qui rappelle la plage","Dessèche les cheveux, aucun intérêt donc !"
"217","Il ne nourrit pas et ne répare pas les cheveux mais en même tant c'est un shampooing sa tâche est de laver les cheveux, et pour celles ou ceux qui ont la sensation que leur cheveux s'assèche, c'est normal c'est parce qu'il est sans silicone donc vos cheveux retrouve leur état ""normal"" parce que le silicone enveloppe le cheveux et on a donc l'impression qu'il est doux et réparé.  C'est ma deuxième bouteille et je rachète volontier.","Presque tout, l'odeur est envoûtante j'adooore (franchement allez le sentir un jour) il lave très bien et il se rince très bien LES COMPOSANT: sans parabens, sans silicone, sans SLS","La présentation: le bouchon ne tient pas très bien, il a tendance à s'enlever assez facilement."
"218","Je le rachèterai volontiers !","Pas de silicones (!) Odeur à tomber Pas de Sodium Laureth Sulfates Nourrit convenablement les cheveux Fait briller les cheveux Très bon pouvoir lavant.","Le meilleur shampoing de grandes surfaces qui tient ( peu près) ses promesses !"
"219","Un shampoing soin agréable à utiliser pour mes cheveux fins et ondulés. je l'utilise avec l'après shampoing de la même gamme","Pas cher se rince bien compo sans SLS hydrate sans alourdir ",""
"220","Mon nouveau chouchou ","Odeur Nourris et apporte douceur et brillance Prix Economique peu de produit suffi Lave et ce rince tres bien Ne rend pas les cheveux gras   ","Ras"
"221","Ni emballée ni déçue... Je ne rachèterai pas.","Son agréable parfum Texture correcte Si l'on considère que des cheveux ""crissants"" sont gage de propreté, alors ce shampoing a un bon pouvoir lavant..( à débattre donc..!)","Même couplé à l'après-shampoing, le résultat n'a rien d'exceptionnel."
"222","avec l'huile et le masque de la même gamme en complément, mes cheveux n'ont jamais été aussi beaux depuis que j'ai arrêté le lisseur qui m'a rendu mes cheveux atroces ","- Lave très bien les cheveux (j'adore quand ils crissent après le shampooing et c'est le cas) - Odeur magique.......  - Même si on dirait que les cheveux sont tous secs et mal démêlés quand on a encore les cheveux mouillés, quand ils ont bien séché ils sont doux doux doux, et ils brillent vraiment  - Mousse assez bien","Marre des sulfates, mais c'est ce qu'on trouve de mieux....."
"223","Certainement un bon produit mais assèche trop mes longs cheveux.","Sent bon/ a assainit mes racines qui ne deviennent plus grasses au bout de 2 jours/ très lavant","trop lavant/ rend les cheveux secs et difficultés à les coiffer (noeuds dans les cheveux alors que je n'en ai pas d'habitude)"
"224","Ce shampoing décape complètement mes cheveux, un comble pour un shampoing pour cheveux très secs. Même en faisant un bain d'huile avant mes cheveux crient au secours après ce shampoing. Déçue.","petit prix texture agréable se rince facilement lave bien les cheveux sent bon","trop décapant"
"225","À coupler avec le masque une tuerie de douceur et d hydratation","Excellent mousse sent très bon se rince parfaitement","Aucun"
"226","Il est préférable de l'associer a un masque ou un après shampoing pour démêler les cheveux et les rendre plus doux.","Un bon shampoing qui lave plutot bien, il ya certes de meilleur shamping avec un meilleur pouvoir lavant. Il mousse beaucoup, ce que j'apprécie. L'odeur est agréable. ","A lui tout seul, le shampoing ne fait pas de miracles, c'est un shampoing comme les autres. En revanche, il a tendance a rendre très secs les cheveux."
"227","Bon produit. A coupler avec l'huile de soin de la même gamme pour un résulat visible immédiatement.","Une odeur agréable. Rend les cheveux doux et visiblement nourris",""
"228","Un produit que je ne recommanderais pas car a asséché mes cheveux, l'après shampoing est surement beaucoup plus approprié à des cheveux secs car en règle général les shampoings non doux ont tendance à assécher encore plus les cheveux déjà secs... Du moins pour moi","- sent très bon - lave à la perfection les cheveux, je dirais même les décape... (surtout sur les longueurs... il avait rendu mes cheveux encore plus secs que ce qu'ils étaient) - très bon pour la peau (mais ce n'est pas son but premier...)","- rend les cheveux encore plus secs"
"229","J'ai apprécier sont odeur oriental douce et agréable . son action apaisante sur le cuir chevelue car il est adapté pour les cheveux sec et agraisée .","Parfum très agréable ,texture fluide apaisante et douce. facile à rincer ,efficace avec l'huile .","aucun"
"230","Très bon produit, surtout pour le prix. Les cheveux sont doux et parfaitement hydraté. Je le complète avec l'après shampoing de la même gamme pour un résultat parfait.","",""
"231","J'attendais beaucoup de ce shampooing après avoir vu la publicité à la télévision. Mais finalement il ne répond pas vraiment à mes attentes car je pensais que mes cheveux seraient vraiment nourris mais ce n'est pas le cas....","Il a une odeur très agréable et un fort pouvoir lavant","Ne nourrit pas vraiement le cheveu"
"232","Tester grâce au panel ambassadeur, j'en suis ravie et je continue à l'utiliser.","Shampoing très agréable qui sent vraiment très bon. Idéal pour les cheveux secs pour un cheveu nourrit brillant et naturel. Pour les cheveux très secs il faut l'utiliser soit avec l'huile avant lavage des cheveux ou avec le masque après le shampoing. ","Aucun"
"233","","- petit prix - odeur merveilleuse de vacances -efficacité réel utilisé en complément de la gamme -au premier abord champoing non crémeux mais très mousseux et doux ",""
"234","Utilisé seul les cheveux restent secs, pour les avoir doux il faut le compléter avec l'huile avant-shampooing. Donc acheté seul j'ai trouvé mieux dans d'autres marques.","Odeur très agréable Mousse très bien Se rince facilement",""
"235","j'adore je mets l'huile sèche et après le shampoing, les odeurs sont sublimes on se croirait dans le sud et l'odeur reste sur les cheveux jusqu'au prochain shampoing, de plus il s'applique facilement et se rince facilement, après les cheveux sont doux et pas lourd, je le recommande vivement pour les cheveux long, et sec au bout.","très bonne odeur rend les cheveux doux","un peu chère mais vaut le coup"
"236","Sinon, ce shampooing, n'est vraiment pas cher !","Son odeur ! J'adore !!!!!!!!!!!","Mes cheveux crépus mais défrisés restent sec !! Pas de souplesse, ni de douceur !!!"
"237","à completer avec l'huile avant-shampoing de la meme gamme , ils font un duo parfait","j'adore ce shampoing qui complète très bien l'huile avant-shampoing de cette gamme , il sent bon l'été et laisse les cheveux très doux ","aucun"
"238","Un excellent produit encore une fois de la marque dont le parfum colle parfaitement à la saison. Un shampoing qui rend les cheveux doux, brillants et délicieusement parfumés!","Une odeur absolument divine. Le produit mousse très facilement et la quantité de produit nécessaire est donc infime. Un vrai délice!","Aucun"
"239","Au début effet miracle, en plus du parfum envoûtant des îles, mais ensuite le sulfate commence à faire effet sans oublié les silicones qui alourdissent les cheveux à force, donc grosse déception venant d'une marque qui affiche clairement son côté naturel et authentique. Pour leur défense les Sulfates sont présents même dans des produits dit ""BIO"". mais bon conclusion je ne rachèterai pas","Le parfum le packaging ","2e composant plus important: Ammonium Lauryl Sulfate !!!!!"
"240","J'ai testé ce produite grâce au programme ""le petit ambassadeur"". Mon avis est mitigé. Associé à l'huile je trouve que ""l'ensemble"" tient assez bien ses promesses. Mais seul il n'est pas suffisant, les cheveux ne sont pas assez doux et à long terme je n'ai pas l'impression qu'il soient réparés. L'odeur est différente de l'huile et je préfère largement l'odeur de l'huile. Je suis néanmoins contente d'avoir pu tester ce produit mais ne pense pas l'acheter par la suite. ","Lave bien, les cheveux ne regraissent pas trop vite, pas de noeuds.","Je n'aime pas trop l'odeur et trouve que tout de suite après le shampoing les cheveux ont une texture bizarre. "
"241","J'ai eu la chance de pouvoir tester ce shampoing ainsi que l'huile avant shampoing , grace au site ambassadeur le petit marseillais et je leur dis Merci merci merci! Cest decide je ne quiterais plus ce shampoing(et son huile d'ailleurs.... Je pense meme me prendre l'apreq shampoing!) Un seul conseil : si vous avez les cheveux pas mal secs et desydrates , foncez!!!","* L'odeur qui est tout simplement DI-VI-NE!!*_* * Parfaitement parfait pour mes cheveux secs! Il n'alourdit pas les cheveux, les nourrits juste ce qu'il faut. * Combiné à l'huile avant shampoing de la même gamme , c'est jute une tuerie!","Absolument aucun"
"242","Une fois vos cheveux desintoxiqués des silicones, vous profiterez pleinement de ce shampoing. N'hésitez pas a aller voir les produits associés dans la même gamme, ils sont très bien (masque surtout, et l'huile pas mal aussi) Je rachèterai !","- SANS silicones, parabens - rend les cheveux assez doux - évite que les cheveux regraissent vite : le top!!","- il faut bien le rincer, et sensation que les cheveux crissent sous les doigts"
"243","Très bon shampoing","les ingredients","petit format"
"244","Déçue par ce produit ainsi que par l'huile de la même gamme. Je l'ai donné et utilise le shampooing merveilleux de Garnier qui est très efficace.","*Odeur divine *Lave les cheveux *Produit testé grâce au Petit Ambassadeur","*Rend mes cheveux électriques donc ne facilite pas le coiffage *Rend mes cheveux encore plus fins qu'ils ne le sont déjà *Même si utilisation huile + shampooing de la même gamme nécessité d'un démêlant donc l'odeur est moins présente"
"245","je l'utilise tous les jours de la semaine, en association avec l'huile élixir (1 fois par semaine) Mais cheveux sont brillants nourris et vraiment moins secs","rend les cheveux souples et nourris. Je l'utilise tous les jours de la semaine. ",""
"246","Bon produit dans l'ensemble, il nourrit très bien les cheveux qui sont souples et soyeux. Le petit point négatif serait l'odeur qu'il laisse après les cheveux lavés qui n'est pas très agréable!","Le prix et l'efficacité","La texture et l'odeur"
"247","Je l'ai toujours utilisé à la suite de l'huile Elixir de la même gamme (testés grâce à Le Petit Marseillais). Donc je ne connais pas son effet sur les cheveux si utilisé seul.","-sent bon - lave bien les cheveux et mousse bien, bien pour rincer l'huile de la gamme - la composition","- je ne connais pas son pouvoir nourrissant seul"
"248","","odeur & rapport qualité/prix","pas "
"249","un très bon produit pour cheveux secs et frisés, très nourrissant, à associer avant avec l'huile nutrition intense, c'est vraiment un plaisir.","le prix, l'odeur, la douceur.","aucun."
"250","tres interressant au retour de plage,les cheveux sont bien nourris.","Rend les cheveux doux","aucun"
"251","Idéal pour cheveux boucles et secs marque de qualité  J ai participée a la campagne des ambassadeurs le petit marseillais pour ce produit et tout mon entourage est plus que satisfait cheveux nourris et soyeux ","Un parfum très agréable ´ assoupli les cheveux et laisse une brillance qui dure effet cheveux soyeux garanti ","Coiffage difficile sans pares shampoing les cheveux sont trop emmêlés , a associer à l huile élixir nourrissante pour une hydratation efficace "
"252","J'ai trouvé l'efficacité du produit assez décevant surtout quand je vois que les huiles sont au début dans la liste des ingrédients. J'ai trouvé le shampoing 2 en 1 au lait d'olive plus efficace alors qu'il est pour cheveux normaux.","Il sent bon, rend les cheveux doux et ne les rend pas gras sur le long terme.  Les huiles sont au début dans la liste des ingrédients.","Il ne nourrit pas vraiment mes cheveux que ce soit à court terme ou à long terme, j'ai l'impression d'utiliser un shampoing pour cheveux normaux. "
"253","C'est un très bon shampoing qui combiné a l'huile avant shampoing de la même gamme est très efficace. J'en suis ravie!","Lave et se rince très bien!","Seul, il nourrit que moyennement les cheveux"
"254","Je suis déçue par ce shampooing qui contient des ingrédients très chimiques et nocifs pour mes cheveux. Il fait des promesses qu'il ne tient pas.","Il n'est pas cher. Il sent relativement bon.","Sa composition bien trop chimique à mon goût. Son effet sur mes cheveux : il les assèche (un comble pour un produit qui dit vouloir les nourrir) et ne les lave que très moyennement..."
"255","pas pour tout types de cheveux secs et colorés comme moi !! aucun effets positifs sur mes cheveux","a part l'odeur pour moi ce shampooing ne convient pas a mon type de cheveux","sensation desagreable sur cheveux moulliés et secs ,coiffage difficile "
"256","Personnellement j'alterne avec un shampoing moins hydratant car mes cheveux sont déshydratés et secs mais ça c'est amélioré depuis que j'utilise ce soin, donc à utiliser en cure.","D'abord ce qui me réjouit à chaque shampoing c'est l'odeur qui est vraiment divine, ni l'argan ni le karité, c'est plus fleuris et d'actualité avec les chaleurs. Il mousse parfaitement, et pas besoin d'une grosse quantité, il se rince tout aussi bien. Et surtout il nourri le cheveux qui revit.","Pour celles qui cherchent seulement un peu d'hydratation, il hydrate peut-être un peu trop. Mais sans alourdir."
"257","","sent très bon, rend les cheveux plus beaux",""
"258","","L'odeur nous rend addict . À utiliser avec le pré shampoing .les cheveux deviennent soyeux sans être gras.","Les cheveux restent un peu difficile à démêler "
"259","Je l'ai eu a tester avec l'avant shampooing il est vraiment top et toutes mes copines ayant tester l'avant shampooing ont étaient conquises mais faut vraiment avoir le cheveux sec pas juste un peu car il graissera vos cheveux !","L'odeur Le shampooing de l'été","Aucun"
"260","Je l'ai utilisé combiné a l'huile avant shampoing l'efficacité est la . Je rachèterais ce shampoing ","",""
"261","Pour des cheveux secs ce shampoing est vraiment la solution."," Hydratant, nutritif, bonne odeur, ingrédients ""beurre de karité, glycérine et huile d'argan"", prix abordable, ","Aucun"
"262","Le mélange de deux huiles est très innovant et efficace. Je le recommande vraiment.","Son odeur, sa texture, à utiliser en duo avec l'huile avant shampooing et les cheveux retrouvent de l'éclat, de la brillance, ils sont plus soyeux. Il se rince bien.","Flacon un peu sombre mais bon!... le produit est excellent."
"263","Un produit de qualité pour un prix dérisoire.","Très bon produit Rend les cheveux doux et brillant Facile à rincer Odeur agréable Prix","pas d'action démêlante pour ma part (cheveux longs et fins)"
"264","Testé avec l'huile, j'ai déjà racheté le shampooing! Pourtant adepte des ultra doux garnier cheveux secs, l'essayer c'est l'adopter !!!","L'odeur est à tomber La texture est vraiment agréable, comme s'il n'y avait que l'essentiel Pas de silicones : il s'agit d""huiles minérales Efficacité immédiate et prolongée : douceur et brillance des cheveux durables Se rince très bien, d'autant plus qu'on n'en met qu'une petite quantité : lave très bien","allez pourquoi pas le packaging : la couleur marron est peut-être un peu terne... Mais ca ne m'empechera pas de le racheter!"
"265","J'ai testé ce produit et il est vraiment super, cheveux super doux et efficace.","L'odeur et texture ","aucun "
"266","Un shampooing qui rend les cheveux secs à très secs brillant, doux et qui les répare vraiment.","Son odeur et son efficacité rapide.",""
"267","Un très bon shampoing pour les chevelures fragiles, ou pour les cheveux bouclés, frisés ou crepus qui sont assez pauvres en sébum. L'odeur est un délice. Il se rince facilement, mes cheveux sont souples et doux. A complété avec le reste de la gamme.","Douceur, odeur, composition 'clean' et tout cela a petit prix.","Dommage qu'il contiente du sulfate, mais bon a ce prix on peut pas tout avoir."
"268","vraiment ravie et c'est grâce aux avis des testeuses BT que j'ai eu envie d'acheter ce shampooing car sinon beaucoup trop riche. mes cheveux bouclés épais ont adoré - pas sûr que je mettrai le soin ça risque d'être trop riche.","le prix raisonnable, l'odeur sympa qui heureusement sur moi ne tient pas trop longtemps car je mets un après-shampooing d'une autre marque, l'efficacité immédiate mes cheveux étaient vraiment nourris sans avoir l'effet gras que je redoutais ayant un peu les racines grasses","en fait je n'en vois pas"
"269","Excellent shampooing nourrissant aux huiles nutritives, mes cheveux sont beaucoup plus souples, soyeux, même les pointes sont douces! J'ai pu le tester avec l'huile avant-shampooing de la gamme puis j'ai complété avec l'après-shampooing, et je suis conquise, mes cheveux sont beaucoup plus beaux au bout de 2 semaines à peine. L'odeur rend l'utilisation très agréable. Ca vaut le coup d'essayer pour tous types de cheveux, pour ma part je l'ai adopté!","Sans silicone ni paraben (c'est mon premier critère quand j'achète un shampooing) Odeur délicieusement gourmande de monoï, estivale, très agréable Nourrit les cheveux intensément mais ne les regraisse pas Prix très correct","ras"
"270","J'ai eu la chance de pouvoir tester ce shampooing ainsi que l'huile avant-shampooing de la gamme et j'en suis plutôt satisfaite","J'aime beaucoup l'odeur  C'est un bon produit et le prix est correct","Pas assez hydratant sur mes pointes sèches, à compléter avec un soin démêlant et nourrissant pour les longueurs/pointes "
"271","Je suis conquise! d'ailleurs j'ai déjà racheté un deuxième flacon au cas où mon magasin serait en rupture de stock","Produit qui pour une fois tient ses promesses. J'ai les cheveux ondulés et fin, en été ça devient de la paille! et là oh surprise avec ce shampoing j'ai retrouvé des cheveux doux au toucher et hydratés! l'odeur en plus est à tomber (évoque la plage) et la composition est plus qu'acceptable (sans silicone ou paraben).","rien du tout, même le prix est raisonnable pour un produit de cette qualité"
"272","J'ai pu tester le produit avec le spray avant shampoing et c'est parfait pour nourrir mes cheveux longs et secs. Pour qu'il soit vraiment parfait, un petit soin démêlant intégré serait idéal.  ","-Odeur on se croirait dans un spa ! - Hydrate bien surtout après les baignades en mer ",""
"273","","AGIT EFFICACEMENT SUR CHEVEUX SECS","SON PRIX"
"274","Mes cheveux secs et bouclés apprécient beaucoup ce shampoing qui est un vrai soin nourrissant! Avec l'huile Karité Argan ''Le Petit Marseillais'' en avant-shampoing, les cheveux sont nourrit! ","-texture -odeur karité/ argan",""
"275","","L'odeur est très agréable et les cheveux secs sont bien nourris. ",""
"276","Je suis complètement conquise par ce shampooing,il me rend les cheveux très brillant,et qui sentent très bon,je le rachète et je le recommande.","Mousse très bien Se rince facilement Sent bon Belle présentation Rend les cheveux brillant et souple","Ras"
"277","Mon nouveau shampoing pour affronter l'été !","Je suis agréablement surprise de ce shampoing ! Mes cheveux ont tendance à frisotter et ont une nature plutôt sèche. Ce produit les nourrit intensément, les démêle, les discipline et surtout les lave correctement. De plus, l'odeur est divine ! ","RAS"
"278","idéal pour les cheveux frisé et très sec je l utilise pour mon fils métis et ses cheveux sont plus doux agréablement parfumé et reprenne une jolie structure ","nourrissant odeur agréable action démèlante",""
"279","Must have du moment!!! Je l'utilise avec l'après-shampooing.","",""
"280","il fait briller les cheveux c'est magique","il lisse vraiment le cheveux le rend plus lourd ","ne convient vraiment pas aux cheveux raides;)))"
"281","","Le produit lave très bien les cheveux, il mousse bien","Il assèche les cheveux"
"282","j'ai été conquise par ce shampooing car j'ai constaté que mes cheveux étaient moins abimés et moins cassants.j'ai testé ce shampooing grâce aux petis embassadeurs","la présence de l'argan et karité,odeur agréable, mousse et se rince trés bien, les cheveux sont doux et soyeux, hydratés et nourris, sans silicone et paraben","un aprés shampooing est nécessaire pour mes cheveux trés fins"
"283","","hydrate très bien les cheveux, sans silicone!","présentation fidèle au petit marseillais donc simple."
"284","Très efficace, se rince facilement et laisse un super parfum dans les cheveux.","Super parfum de vacances.","Aucun"
"285","À utiliser pendant les vacances à la mer","Très nourrissant et agréable à utiliser, le prix est tout petit ","Peut être un peu trop nourrissant pour mes cheveux fins"
"286","a recommander","si vos cheveux sont hyper secs en rentrant de la mer , ce produit et ideal en rajoutant son huile avant","diffile a rincer"
"287","mes cheveux était bien abimé et depuis ils revivent!foncer il est parfait pour les cheveux long et secs,abimés.","cheveux doux ,propre,volume maitrisé avec l'utilisation de l'huile elixir avant chaque shampooing beau duo!mes cheveux sont plus beaux ","ras"
"288","combiné à son après-shampooing c'est une pure merveille ! je pense tester le soin avant shampooing de la même famille.","sent hyper bon, lave et se rince très bien","RAS"
"289","testé grace au site : le petit ambassadeur. à utiliser avec l'huile pour augmenter son efficacité! trés bon shampooing","2 huiles présentes, répare les cheveux et les hydrate bien, sans paraben, sans silicone.","mes cheveux graissent vite"
"290","je le conseille à toutes celles qui ont des cheveux secs.","Utiliser avec son avant shampoing c'est une merveille ! Il laisse mes cheveux extrémement doux et une sensation de légéreté comme si mes cheveux était bcp plus fin ! Je l'adopte ! En plus son odeur est super fine.","Peut être le prix, mais vu l""éfficacité on l'oublie vite le prix."
"291","","parfum",""
"292","","","je ne conviens pas : mes cheveux paraissent plus secs et pas lisses du tout ???"
"293","","L'odeur est juste envoûtante et nous fait voyager!","Aucun..."
"294","j'ai utiliser l'huile avant shampoing avant,et combiné au shampoing ,pas besoin de démêlant mes cheveux était très doux,je pense en racheter mais pour ma fille qui à les cheveux très bouclés,pour moi l'odeur est un peut trop présente dans mes cheveux,et comme je suis migraineuse sa à tendance à me faire mal à la tête ,merci au petit ambassadeur de m avoir fait tester les produits ","L'odeur il lave bien  démêle cheveux doux au toucher ","L'odeur sent bon mais un peut ecoeurante à la longue "
